"tag","unique_users","%_content_gen","%_content_pp","avg_nt_per_cg","dev_nt","%cg_outliers-","%cg_outliers+","avg_rt_per_cp","dev_rt","%cp_outliers-","%cp_outliers+","cg_reach","dev_cgr","cgr_outliers-","cgr_outliers+","cp_reach","dev_cpr","cpr_outliers-","cpr_outliers+"
"unknown-#thmcsm","0","0.0000","0.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000","0.0000","0.0000","-1.0000","-1.0000"
"#Candidiasis","85","0.4941","0.7647","21.0476","42.0244","0.0000","0.1429","24.9846","18.7547","0.0000","0.1846","2978.0238","9469.0708","0.0000","0.1190","3768.1692","10408.4538","0.0000","0.1385"
"#ESRD","199","0.6080","0.8442","20.1983","45.1266","0.0000","0.1405","27.9167","32.7810","0.0000","0.1369","3679.6860","14405.6997","0.0000","0.1157","3754.1726","17288.9866","0.0000","0.1488"
"#TSComplex","2","0.5000","0.5000","1.0000","0.0000","-1.0000","-1.0000","1.0000","0.0000","-1.0000","-1.0000","333.0000","0.0000","-1.0000","-1.0000","20.0000","0.0000","-1.0000","-1.0000"
"#CLL","385","0.5065","0.8649","28.1282","108.4366","0.0000","0.1026","51.9820","77.5337","0.0000","0.1502","3920.3744","12508.6022","0.0000","0.1385","2810.1231","10598.5422","0.0000","0.0961"
"#Gastroparesis","719","0.4214","0.8901","20.0528","77.8270","0.0000","0.1419","38.5906","49.3515","0.0000","0.1453","3793.5941","15240.9828","0.0000","0.1386","3031.4875","12462.5152","0.0000","0.1250"
"#PlantarFascitis","14","0.7857","0.4286","2.3636","1.6895","0.0000","0.0000","46.6667","1.7512","-1.0000","-1.0000","13081.5455","31481.9384","0.0000","0.1818","5588.5000","12973.7747","-1.0000","-1.0000"
"#BrainInjury","2643","0.4722","0.8619","9.8974","38.3614","0.0000","0.1274","19.3367","28.5076","0.0000","0.1220","3699.7492","15078.0903","0.0000","0.1138","3074.9798","14806.4201","0.0000","0.1150"
"#LiverCancer","642","0.4611","0.8801","25.0946","75.1540","0.0000","0.1047","28.4283","50.9950","0.0000","0.1876","10038.8885","48678.9811","0.0000","0.1250","6080.9345","34272.8145","0.0000","0.1274"
"unknown-#ESUSaware","12736","0.4143","0.8503","10.6617","45.2614","0.0000","0.1277","12.3184","28.7171","0.0000","0.1622","7680.5158","91169.3003","0.0000","0.1306","4313.2218","58389.2044","0.0000","0.1287"
