"avg_hashtags","avg_mention","avg_urls","avg_media","avg_symbol","avg_tweet_uniquewords","avg_tweet_length","avg_tweet_density"
"2.8909","1.8727","0.4061","0.5091","0.0000","4.9333","21.5152","0.2293"
"3.4907","0.6373","0.9413","0.4800","0.0000","4.6773","20.5813","0.2273"
"5.0646","0.9166","0.8925","0.5466","0.0010","2.4967","20.6521","0.1209"
"4.6724","0.2069","0.7759","0.4655","0.0000","9.4655","19.4483","0.4867"
"3.4141","2.5116","0.7764","0.6284","0.0014","2.2395","22.5385","0.0994"
"4.6022","0.3705","0.8953","0.4613","0.0000","2.9370","19.5238","0.1504"
"2.8818","2.1024","0.7050","0.7352","0.0000","0.9883","21.7174","0.0455"
"3.8041","1.2432","0.9324","0.4459","0.0000","3.8446","23.0270","0.1670"
"2.5600","1.8993","0.8803","0.4657","0.0095","2.4450","20.3167","0.1203"
"2.3860","2.4326","0.8055","0.3070","0.0000","2.1840","20.8421","0.1048"
"4.9313","0.9289","0.8304","0.5966","0.0182","2.2970","20.8630","0.1101"
"2.3800","0.8800","0.9000","0.5400","0.0000","9.9800","22.6800","0.4400"
"4.5811","1.7027","1.1098","0.5693","0.0000","3.9628","22.1926","0.1786"
"3.7659","0.9088","0.8698","0.5849","0.0000","1.8671","20.9196","0.0893"
"2.5217","1.2326","0.8587","0.6304","0.0022","3.8630","23.3674","0.1653"
"2.9302","1.9676","0.8180","0.3466","0.0723","4.8703","22.5885","0.2156"
"4.4869","0.9300","0.5364","0.3644","0.0000","5.1574","19.4898","0.2646"
"4.9657","1.0343","0.9216","0.5343","0.0000","4.3578","19.5882","0.2225"
"4.9932","1.1809","0.7276","0.6146","0.0000","2.0596","21.7218","0.0948"
"2.6694","1.4860","0.9388","0.7587","0.0000","2.2661","15.2893","0.1482"
"4.4020","1.2031","0.7640","0.4581","0.0030","2.7610","21.7415","0.1270"
"3.6355","1.0867","0.7520","0.3227","0.0090","3.1624","19.9711","0.1583"
"3.8983","1.6595","0.8735","0.6199","0.0037","1.3467","21.8879","0.0615"
"4.4780","1.5381","0.8092","0.5484","0.0068","1.9615","22.5096","0.0871"
"1.8818","1.3545","0.2500","0.5818","0.0000","2.0182","20.2364","0.0997"
"5.6559","0.8951","0.8637","0.5417","0.0007","3.0043","21.3982","0.1404"
"2.9977","1.3302","0.6535","0.7326","0.0000","3.4698","19.8070","0.1752"
"4.2573","1.4572","1.0155","0.5379","0.0131","2.0141","19.7234","0.1021"
"3.9333","1.1800","0.9033","0.4800","0.0000","5.2700","21.7400","0.2424"
"2.9111","1.9158","0.6293","0.4472","0.0013","1.6660","21.8407","0.0763"
